Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,componentnumber,pageranks,clustering,triangles,eigencentrality,value
Streptococcus_milleri,Streptococcus,,1,1.94,2,0.6,0.666667,0,29,0,0,21,0.000727,0,0,0.000105,548
Eggerthella_lenta,Eggerthella,,3,5.82,1,1,1,0.000007,29,0,0,21,0.001886,0.333333,1,0.0003,0.01
Bacteroides_heparinolyticus,Bacteroides,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,12.28
Streptococcus_sanguinis,Streptococcus,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,548
Sanguibacter_keddieii,Sanguibacter,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.18
Peptoclostridium_acidaminophilum,Peptoclostridium,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.28
Tetragenococcus_koreensis,Tetragenococcus,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.16
Bifidobacterium_actinocoloniiforme,Bifidobacterium,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.48
Desulfitobacterium_metallireducens,Desulfitobacterium,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.26
Anaerocolumna_cellulosilytica,Anaerocolumna,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.17
Cellulomonas_flavigena,Cellulomonas,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.15
Gramella_forsetii,Gramella,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.13
Aeromicrobium_erythreum,Aeromicrobium,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.04
Microbacterium_amylolyticum,Microbacterium,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.74
Rathayibacter_tanaceti,Rathayibacter,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.02
Arachidicoccus_ginsenosidivorans,Arachidicoccus,,15,29.88,2,0.659574,0.741935,0,17,0,0,18,0.001191,1,105,0.00285,0.01
Porphyromonas_asaccharolytica,Porphyromonas,,1,1.94,1,1,1,0,20,0,0,22,0.001285,0,0,0.000097,15.87
Streptococcus_intermedius,Streptococcus,,1,1.94,1,1,1,0,20,0,0,22,0.001285,0,0,0.000097,548
Leptotrichia_shahii,Leptotrichia,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,11.03
Actinomyces_tangfeifanii,Actinomyces,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,124.010002
Streptococcus_respiraculi,Streptococcus,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,548
Trueperella_bialowiezensis,Trueperella,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.23
Lactobacillus_vaginalis,Lactobacillus,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,2.19
Jeotgalibaca_dankookensis,Jeotgalibaca,,87,169.740004,1,1,1,0.000242,21,0,0,23,0.001822,0.668538,2501,0.094005,0.39
